,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
point diff Playoff Accuracy,0.7272727272727273,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.7272727272727273,0.8181818181818182,0.6363636363636364,0.6363636363636364,0.7272727272727273,0.6363636363636364,0.36363636363636365,0.6363636363636364,0.6363636363636364,0.36363636363636365,0.6363636363636364,0.6153846153846154,0.6153846153846154,0.7692307692307693
point diff LinReg Playoff RMSE,15.129902946664162,10.834084099055218,13.289845927942297,13.359429033549787,15.541676090146487,11.634466301741288,14.716725492372623,11.001173212517212,14.896555744386363,12.428301817811953,15.499316845969105,11.384117513679957,11.642014389583977,9.615317447358438,12.443942443976137,10.97930464191906,11.235748069960685,12.171425718298137
point diff LinReg RegSzn RMSE,11.561336208020695,12.031290459775596,11.809974777388902,12.322356242675042,12.99981921479539,12.443284484708181,12.195051017291878,12.38600877959098,11.00274146276664,13.159367819089857,11.270843322235402,10.56260071952144,11.968920202437216,11.837534347678625,11.68827012106251,11.497191851342624,12.5317314111864,10.420444129411209
point ratio Playoff Accuracy,0.6363636363636364,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.6363636363636364,0.7272727272727273,0.7272727272727273,0.6363636363636364,0.8181818181818182,0.6363636363636364,0.5454545454545454,0.7272727272727273,0.6363636363636364,0.36363636363636365,0.5454545454545454,0.6153846153846154,0.5384615384615384,0.6923076923076923
point ratio LinReg Playoff RMSE,15.258685206344353,10.704990551655573,11.168002522993774,12.519067434495517,16.337739246962915,11.274644125806883,14.40660014267785,10.3879693840698,13.722398623653847,13.024612263543334,14.84820376314822,12.292810752228203,13.069576122257253,9.724207837867874,12.70139473891617,11.420113768174142,11.77462393333198,13.070133874739163
point ratio LinReg RegSzn RMSE,11.690904378120374,12.211208295696313,11.885474903662203,12.49359660753542,13.079964848766162,12.520972342877027,12.34858280540678,12.439276993212681,11.136141938523204,13.246348839113951,11.36879235362249,10.622009528193185,12.059992594985145,11.898782293504762,11.774329619227299,11.568850900952565,12.823259770607004,10.576948660114068
pythagorean point ratio Playoff Accuracy,0.5454545454545454,0.45454545454545453,0.36363636363636365,0.45454545454545453,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.6363636363636364,0.8181818181818182,0.6363636363636364,0.5454545454545454,0.7272727272727273,0.5454545454545454,0.36363636363636365,0.6363636363636364,0.7692307692307693,0.46153846153846156,0.7692307692307693
pythagorean point ratio LinReg Playoff RMSE,15.677893203163492,10.4071154310873,11.26719205584581,12.302457854182006,15.983382249490997,11.255272973273138,14.579895474920502,10.535599789467975,14.054002988190039,13.399529729693414,14.497796253222862,12.28870165126504,12.736143608804483,9.715835872082828,12.39070395404488,10.875246037274193,11.350749640771364,12.411737035465901
pythagorean point ratio LinReg RegSzn RMSE,11.681366385942727,12.171960827923238,11.832435690555743,12.471426299085971,13.042264123308387,12.48543877416505,12.320146455484231,12.440982760392535,11.102815258124114,13.226306296841408,11.342981898982382,10.625851027376779,12.055606205413547,11.886713846351691,11.762802342947326,11.542957074528058,12.707311223242709,10.495333782171867
dsr Playoff Accuracy,0.5454545454545454,0.5454545454545454,0.45454545454545453,0.6363636363636364,0.7272727272727273,0.7272727272727273,0.5454545454545454,0.6363636363636364,0.5454545454545454,0.6363636363636364,0.5454545454545454,0.8181818181818182,0.7272727272727273,0.45454545454545453,0.45454545454545453,0.6923076923076923,0.6153846153846154,0.8461538461538461
dsr LinReg Playoff RMSE,16.29424230568628,10.171815215571945,13.142858286624884,10.880718238019888,15.766427923745953,11.082005519257327,13.430516866161692,10.762505233527534,17.42568841419395,13.326554755511571,16.409255080216283,12.525005270289771,11.702081217237964,10.589507027014985,14.595756125988654,10.906644513175955,10.661410880475064,11.659504978958674
dsr LinReg RegSzn RMSE,12.479974468760838,12.509338435295355,12.675827709881457,12.810522520391908,13.36837489228165,13.13037324578085,12.831708612933054,13.329812154732549,12.028409227803085,13.70751653784082,12.047645253004953,11.282033157131366,12.696890726301273,12.347119119152602,12.28779992818699,11.976313630427363,13.128475931193591,10.855178813527914
game control Playoff Accuracy,0.45454545454545453,0.5454545454545454,0.45454545454545453,0.36363636363636365,0.6363636363636364,0.8181818181818182,0.6363636363636364,0.6363636363636364,0.7272727272727273,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.5454545454545454,0.6363636363636364,0.5384615384615384,0.46153846153846156,0.7692307692307693
game control LinReg Playoff RMSE,15.913687196224105,9.463618811968697,13.032459808584438,12.51892617077643,17.228972285655676,11.851915685013859,15.994246102807946,11.273642901409008,14.472344345911326,13.524628615090174,13.983839561472255,10.297380536867507,12.134180469536657,8.750107006192136,11.609856234652344,11.77373258689565,10.641852963417403,11.522768689173384
game control LinReg RegSzn RMSE,11.991942227093618,12.429028000570558,12.254504041135549,13.079939346080076,13.372913700754719,12.820135096772525,12.640684886273744,12.738099152908914,11.382957792254278,13.376970875111054,11.631784397694256,10.991269306282021,12.490561311491408,12.387561641239417,12.4302368003765,12.081601743528502,13.228967742785748,10.793499377982448
game control signed Playoff Accuracy,0.45454545454545453,0.6363636363636364,0.45454545454545453,0.5454545454545454,0.7272727272727273,0.8181818181818182,0.6363636363636364,0.6363636363636364,0.7272727272727273,0.5454545454545454,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.5454545454545454,0.6363636363636364,0.5384615384615384,0.5384615384615384,0.7692307692307693
game control signed LinReg Playoff RMSE,15.92933345596541,9.738128101987538,13.091463641800305,13.101387803642726,17.01165944457511,11.686103051935525,15.851968241167457,11.276632393106377,14.896637586943818,13.236434202950223,14.258363413803755,10.364337026369764,11.663195172971642,8.755149060791686,11.9782480982093,11.81283155956939,10.589273565028634,10.92055099567312
game control signed LinReg RegSzn RMSE,11.967706968881275,12.40303862350765,12.197696952262042,12.891023232205779,13.28293463383661,12.767406085564483,12.546262519981079,12.767318080893277,11.338913127407535,13.342530988627574,11.60467072042346,11.003782404713853,12.420812796043787,12.27963335471163,12.396262590627265,12.10848609942509,13.135343512071785,10.79231946236859
game control avg Playoff Accuracy,0.5454545454545454,0.6363636363636364,0.45454545454545453,0.5454545454545454,0.7272727272727273,0.8181818181818182,0.6363636363636364,0.6363636363636364,0.7272727272727273,0.5454545454545454,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.5454545454545454,0.6363636363636364,0.5384615384615384,0.6153846153846154,0.7692307692307693
game control avg LinReg Playoff RMSE,15.52309318884127,9.752311332250219,13.003310175707147,12.954350110421423,16.837245761723274,11.610181250884953,15.805097950097217,11.00715531712749,14.429768714673607,13.227025870232902,14.242438361098307,10.473317987624727,11.779944328538669,8.93158910069336,12.141387114309433,11.733213413690086,10.61062533174588,11.05687491024028
game control avg LinReg RegSzn RMSE,11.909675700753892,12.386748173858695,12.14289873450174,12.839891600932681,13.235017659065795,12.72035143847277,12.521361363942928,12.730414741825582,11.299123095990685,13.32971174247405,11.560776900615325,10.964563529947734,12.35652198580739,12.198085006658847,12.326371189767299,12.039772650748207,13.086173643390113,10.786974938456593
game control fourth Playoff Accuracy,0.5454545454545454,0.6363636363636364,0.45454545454545453,0.45454545454545453,0.6363636363636364,0.6363636363636364,0.7272727272727273,0.7272727272727273,0.8181818181818182,0.5454545454545454,0.36363636363636365,0.6363636363636364,0.5454545454545454,0.45454545454545453,0.5454545454545454,0.6923076923076923,0.6153846153846154,0.7692307692307693
game control fourth LinReg Playoff RMSE,15.974836238740446,9.575621365463416,12.83732775340798,12.588119940688914,16.13328340662174,11.95529294537931,15.843220317312698,11.303896199150316,15.271949932388184,13.84228819686687,14.687836606377658,11.343084288747269,13.023861832860106,8.009710009705577,11.581231986692371,10.88588588491817,10.594096832042666,11.32262017630352
game control fourth LinReg RegSzn RMSE,11.93638183332947,12.554056107486883,12.239518094740115,12.758025638150398,13.240278635912723,12.80876367333287,12.583369577912633,12.719528360342673,11.240281387081142,13.414116129028601,11.495582178945535,10.899156753346084,12.323863857317505,12.179940697708272,12.33714453761852,12.108736811069384,13.142095174359563,10.790897087354935
Spread Playoff Accuracy,0.5454545454545454,0.7272727272727273,0.5454545454545454,0.6363636363636364,0.5454545454545454,0.5454545454545454,0.6363636363636364,0.7272727272727273,0.6363636363636364,0.7272727272727273,0.6363636363636364,0.8181818181818182,0.45454545454545453,0.5454545454545454,0.5454545454545454,0.6153846153846154,0.5384615384615384,0.6923076923076923
Spread Playoff RMSE,14.24541393508164,9.519119516196671,10.960673502863026,12.237238250520416,16.422683868800053,12.584261454834621,13.366341717504117,9.198567082086011,14.471759332638799,13.206403405510938,14.96055419488803,10.972071984651015,13.525228951179281,8.306623862918075,11.018579350764368,11.135528725660043,10.520127229414905,12.567510003668495
Spread RegSzn RMSE,12.949797899002132,13.5625,13.40504802303968,13.927687128522093,14.203666450075488,13.947551028316763,13.653532338281549,14.01376973506772,12.695079324781709,14.466083717613417,12.821833490671294,11.765033600674501,13.111078926808426,13.120200015148397,13.127455127518052,12.770319286826778,13.63120473938598,11.408144303854355
